0.000000 0.000000
0.250000 0.188809
0.500000 0.318995
0.750000 0.368039
1.000000 0.420081
1.250000 0.443343
1.500000 0.466540
1.750000 0.515519
2.000000 0.562029
2.250000 0.608153
2.500000 0.631351
2.750000 0.654548
3.000000 0.566006
3.250000 0.712246
3.500000 0.735611
3.750000 0.758808
4.000000 0.782005
4.250000 0.818616
4.500000 0.874004
4.750000 0.897202
5.000000 0.920399
5.250000 0.969442
5.500000 1.018682
5.750000 1.041880
6.000000 1.065077
6.250000 1.101687
6.500000 1.151957
6.750000 1.202638
7.000000 1.248392
7.250000 1.271757
7.500000 1.294954
7.750000 1.331603
8.000000 1.368214
8.250000 1.417192
8.500000 1.465248
8.750000 1.488445
9.000000 1.401986
9.250000 1.548291
9.500000 1.598633
9.750000 1.647829
10.000000 1.700243
10.250000 1.723608
10.500000 1.749241
10.750000 1.797410
11.000000 1.820775
11.250000 1.843972
11.500000 1.867169
11.750000 1.903715
12.000000 1.927080
12.250000 1.950277
12.500000 1.973475
12.750000 2.027103
13.000000 2.050468
13.250000 2.073666
13.500000 2.096863
13.750000 2.156832
14.000000 2.180197
