Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 14.76     12.71    12.71    89241     0.00     0.00  funk2_set__mapc
  7.53     19.19     6.48  7859838     0.00     0.00  rbt_tree__simple_binary_insert
  4.11     22.73     3.54 11138531     0.00     0.00  select_read
  4.08     26.24     3.51 31787640     0.00     0.00  funk2_garbage_collector_pool__touch_f2ptr
  3.75     29.47     3.23 363655390     0.00     0.00  funk2_user_thread_controller__user_check_wait_politely
  3.53     32.51     3.04 44394024     0.00     0.00  pfunk2__f2traced_array__elt__trace_depth
  2.94     35.04     2.53 43181355     0.00     0.00  raw__array__elt
  2.72     37.38     2.34 127558427     0.00     0.00  pfunk2__f2ptype__raw
  2.21     39.28     1.90 10931236     0.00     0.00  circular_buffer__socket_recv
  1.88     40.90     1.62 126995377     0.00     0.00  f2ptype__raw
  1.66     42.33     1.43 17839819     0.00     0.00  funk2_processor_mutex__raw_lock
  1.56     43.67     1.34 59758146     0.00     0.00  raw__simple_array__is_type
  1.51     44.97     1.30 10947538     0.00     0.00  buffered_socket__flush
  1.46     46.23     1.26 11674382     0.00     0.00  pfunk2__f2traced_array__elt__set__trace_depth
  1.41     47.44     1.21 10280978     0.00     0.00  raw__exp__increment_reference_count
  1.29     48.55     1.11 59520902     0.00     0.00  raw__traced_array__is_type
  1.28     49.65     1.10  2059188     0.00     0.00  funk2_garbage_collector__handle
  1.20     50.68     1.03 10927648     0.00     0.00  recv_nonblocking
  1.18     51.70     1.02       14     0.07     0.10  funk2_scheduler_thread_controller__user_wait_politely
  1.11     52.66     0.96 11559210     0.00     0.00  rbt_node__insert_case3
  1.11     53.62     0.96       10     0.10     0.29  funk2_memorypool__defragment_free_memory_blocks_in_place
  1.02     54.50     0.88 26029912     0.00     0.00  funk2_memblock__decrement_reference_count
  0.99     55.35     0.85 45596600     0.00     0.00  pfunk2__f2traced_array__length
  0.99     56.20     0.85 23092537     0.00     0.00  funk2_processor_mutex__raw_trylock
  0.93     57.00     0.80 45396636     0.00     0.00  f2traced_array__length
  0.89     57.77     0.77 43576003     0.00     0.00  f2traced_array__elt
  0.84     58.49     0.72  2613792     0.00     0.00  funk2__handle
  0.81     59.19     0.70      270     0.00     0.02  funk2_garbage_collector_pool__touch_all_protected_alloc_arrays
  0.80     59.88     0.69 43691995     0.00     0.00  pfunk2__f2traced_array__elt
  0.80     60.57     0.69  3664461     0.00     0.00  funk2_set__add_node
  0.79     61.25     0.68       24     0.03     0.03  funk2_set__save_to_stream
  0.75     61.90     0.65  1703936     0.00     0.00  funk2_memory__handle
  0.73     62.53     0.63 12858494     0.00     0.00  circular_buffer__socket_send
  0.70     63.13     0.60 11688876     0.00     0.00  funk2_garbage_collector__know_of_changed_references
  0.69     63.72     0.59  1840904     0.00     0.00  rbt_tree__maximum
  0.66     64.29     0.57 11462947     0.00     0.00  funk2_processor_thread_handler__myself
  0.66     64.86     0.57  4698621     0.00     0.00  funk2_packet__recv_new_valid_from_buffered_socket
  0.65     65.42     0.56  6506054     0.00     0.00  funk2_dptr__decrement_reference_counts
  0.63     65.96     0.54 83852477     0.00     0.00  f2(short, long,...)(...)( *)
  0.60     66.48     0.52  5540486     0.00     0.00  raw__nanoseconds_since_1970
  0.53     66.94     0.46  4295531     0.00     0.00  rbt_tree__remove
  0.53     67.40     0.46      503     0.00     0.04  funk2_user_thread_controller__blacken_grey_nodes__user_process
  0.51     67.84     0.44  2369308     0.00     0.00  funk2_node__handle_node
  0.50     68.27     0.43  6497312     0.00     0.00  raw__array__elt__set__trace_depth
  0.50     68.70     0.43  5871359     0.00     0.00  rbt_node__insert_case5
  0.50     69.13     0.43  2317023     0.00     0.00  funk2_peer_command_server__handle_clients
  0.49     69.55     0.42  6055516     0.00     0.00  rbt_node__next
  0.46     69.95     0.40 21203959     0.00     0.00  funk2_processor_mutex__raw_unlock
  0.46     70.35     0.40  2753105     0.00     0.00  funk2_set__remove_node
  0.44     70.73     0.38  1783835     0.00     0.00  funk2_memblock__init
  0.43     71.10     0.37  6885866     0.00     0.00  circular_buffer__get_used_byte_num
  0.43     71.47     0.37  1741689     0.00     0.00  funk2_garbage_collector_pool__free_white_exps__helper
  0.41     71.82     0.35  4600588     0.00     0.00  funk2_packet__peek_recv_new_from_buffered_socket
  0.41     72.17     0.35  4241912     0.00     0.00  raw__exp__decrement_reference_count
  0.38     72.50     0.33  2372084     0.00     0.00  socket_server__accept
  0.36     72.81     0.31  7825351     0.00     0.00  rbt_tree__insert
  0.36     73.12     0.31  5852498     0.00     0.00  rbt_node__insert_case4
  0.36     73.43     0.31  1823599     0.00     0.00  funk2_memory__funk2_memblock_f2ptr__try_new
  0.34     73.72     0.29 11250925     0.00     0.00  funk2_garbage_collector__know_of_used_exp_mutation
  0.34     74.01     0.29  4309691     0.00     0.00  rbt_tree__remove_with_at_most_one_child
  0.34     74.30     0.29  2335023     0.00     0.00  funk2_node_handler__handle_nodes
  0.34     74.59     0.29      218     0.00     0.00  funk2_user_thread_controller__free_white_exps__user_process
  0.30     74.85     0.26  4798098     0.00     0.00  raw__array__elt__set
  0.29     75.10     0.25  1743734     0.00     0.00  funk2_memorypool__free_used_block
  0.28     75.34     0.24 13502193     0.00     0.00  rbt_node__insert_case2
  0.28     75.58     0.24  2332020     0.00     0.00  socket_server__accept_new_clients
  0.28     75.82     0.24  1197086     0.00     0.00  ptype_traced_array__new
  0.27     76.05     0.23 13431138     0.00     0.00  rbt_node__insert_case1
  0.26     76.27     0.22  6628973     0.00     0.00  funk2_dptr__init
  0.26     76.49     0.22  1569955     0.00     0.00  f2__fiber__execute_bytecode
  0.26     76.71     0.22   893544     0.00     0.00  rbt_node__delete_case2
  0.26     76.93     0.22      104     0.00     0.00  funk2_set__double_size
  0.24     77.14     0.21 11393113     0.00     0.00  this_processor_thread__pool_index
  0.24     77.35     0.21   892526     0.00     0.00  rbt_node__delete_case3
  0.23     77.55     0.20  2553479     0.00     0.00  funk2_peer_command_server_client__recv_packet
  0.23     77.75     0.20  2260447     0.00     0.00  funk2_garbage_collector_pool__grey_referenced_elements_from_dptr
